date,game_id,home_team,away_team,home_score,away_score,home_win,total_runs,home_pitcher,home_pitcher_era,home_pitcher_whip,home_bullpen_era,home_ops,home_avg,home_slg,home_era,home_whip,home_last5,away_pitcher,away_pitcher_era,away_pitcher_whip,away_bullpen_era,away_ops,away_avg,away_slg,away_era,away_whip,away_last5
2025-07-10,777168,Cincinnati Reds,Miami Marlins,6,0,1,6,Emilio Pagán,3.08,0.868421052631579,,0.711,0.245,0.395,3.95,0.8888888888888888,,Lake Bachar,3.09,1.134259259259259,,0.702,0.252,0.388,4.66,1.5,
2025-07-10,777181,Baltimore Orioles,New York Mets,7,3,1,10,Dean Kremer,4.53,1.32542037586548,,0.705,0.239,0.4,4.88,1.0,,Rico Garcia,0.0,0.238095238095238,,0.738,0.244,0.415,3.59,1.5,
2025-07-10,777165,Baltimore Orioles,New York Mets,3,1,1,4,Dean Kremer,4.53,1.32542037586548,3.566363636363637,0.704,0.239,0.399,4.9,0.8888888888888888,"W, W, L, W, W",Rico Garcia,0.0,0.5,4.260909090909092,0.741,0.245,0.417,3.56,1.25,"W, L, W, L, L"
2025-07-09,777175,Milwaukee Brewers,Los Angeles Dodgers,3,2,1,5,Abner Uribe,2.01,1.1085972850678731,,0.702,0.247,0.38,3.68,1.2,,Ben Casparius,4.55,1.2111292962356792,,0.78,0.257,0.447,4.32,1.208791208791209,
2025-07-09,777163,San Francisco Giants,Philadelphia Phillies,0,13,0,13,Scott Alexander,6.11,1.8604651162790693,,0.682,0.231,0.371,3.49,2.2222222222222223,,Jesús Luzardo,4.14,1.4121037463976946,,0.737,0.257,0.407,3.66,0.6666666666666666,
2025-07-09,777172,Chicago White Sox,Toronto Blue Jays,2,1,1,3,Steven Wilson,1.59,1.2455516014234875,3.741000000000001,0.641,0.222,0.345,4.14,1.2222222222222223,,Ryan Burr,0.0,1.0,4.3925,0.735,0.259,0.405,4.13,0.875,
2025-07-08,777187,New York Yankees,Seattle Mariners,10,3,1,13,JT Brubaker,9.0,1.8,,0.792,0.256,0.455,3.83,1.2222222222222223,,Logan Evans,2.96,1.2610619469026547,,0.728,0.247,0.406,3.84,1.875,
2025-07-08,777196,Boston Red Sox,Colorado Rockies,10,2,1,12,Walker Buehler,6.25,1.5833333333333333,,0.758,0.256,0.432,3.92,0.6666666666666666,,Victor Vodnik,2.39,1.3026819923371646,,0.671,0.23,0.38,5.6,1.75,
2025-07-08,777193,Milwaukee Brewers,Los Angeles Dodgers,3,1,1,4,Abner Uribe,2.05,1.1136363636363635,,0.704,0.247,0.382,3.7,0.5555555555555556,,Ben Casparius,4.68,1.233108108108108,,0.784,0.258,0.451,4.35,1.25,
2025-07-08,777198,Baltimore Orioles,New York Mets,6,7,0,13,Dean Kremer,4.53,1.32542037586548,3.4650000000000003,0.705,0.239,0.4,4.94,1.5,"L, W, W, W, L",Rico Garcia,0.0,0.5,3.325714285714286,0.745,0.246,0.42,3.56,1.1,"W, W, W, L, W"
